Name,Handedness,Height,Weight,Avg,HR
Don Mincher,Left,75,205,0.249,200
Greg Erardi,Right,73,190,0,0
Jim Farr,Right,73,195,0,0
Tony Cloninger,Right,72,210,0.192,11
Jim Gosger,Left,71,185,0.226,30
Chuck Harrison,Right,70,185,0.238,17
Mike Ivie,Right,75,205,0.269,81
Frank Dimichele,Right,75,205,0,0
Bob Veale,Both,78,212,0.114,0
Marvell Wynne,Left,71,175,0.247,40
Dusty Baker,Right,74,183,0.278,242
Tucker Ashford,Right,73,195,0.218,6
Ned Yost,Right,73,190,0.212,16
Bob Stinson,Both,71,180,0.25,33
Mike Warren,Right,73,175,0,0
Gaylord Perry,Right,76,205,0.131,6
Dave Marshall,Left,73,182,0.246,16
Mickey Hatcher,Right,74,200,0.28,38
Roger Repoz,Left,75,190,0.224,82
Bill Fulton,Right,75,195,0,0
John Orsino,Right,75,215,0.249,40
Larry Anderson,Right,75,190,0,0
Johnny Briggs,Left,73,190,0.253,139
Craig Mitchell,Right,75,180,0,0
Dave Hostetler,Right,76,215,0.229,37
Bob Jones,Left,74,195,0.221,20
Keith Hernandez,Left,72,180,0.296,162
Alfredo Martinez,Right,75,185,0,0
Dean Chance,Right,75,200,0.066,0
Willie Upshaw,Left,72,185,0.262,123
Dick Green,Right,70,180,0.24,80
Dane Iorg,Left,72,180,0.276,14
Richie Hebner,Left,73,195,0.276,203
Fran Healy,Right,77,220,0.25,20
Doc Edwards,Right,74,215,0.238,15
Sandy Alomar,Both,69,140,0.245,13
Joe Strain,Right,70,169,0.25,1
Gene Richards,Left,72,175,0.29,26
Buddy Bell,Right,73,180,0.279,201
Al Woods,Left,75,190,0.271,35
Rudy Law,Left,73,165,0.271,18
Joel Davis,Left,77,205,0,0
Jody Davis,Right,76,192,0.245,127
Mike Edwards,Right,70,154,0.25,2
Bill Mooneyham,Right,72,175,0,0
John Hobbs,Right,75,190,0,0
Deron Johnson,Right,74,200,0.244,245
John Denny,Right,75,185,0.17,0
Don Wert,Right,70,162,0.242,77
Mike Fiore,Left,72,175,0.227,13
Miguel Dilone,Both,72,160,0.265,6
Greg Luzinski,Right,73,220,0.276,307
Bobby Tolan,Left,71,170,0.265,86
Karl Best,Right,76,190,0,0
Steve Barr,Left,76,200,0,0
Ron Woods,Right,70,168,0.233,26
Tony Horton,Right,75,210,0.268,76
Randy Hundley,Right,71,170,0.236,82
Jose Tartabull,Left,71,165,0.261,2
Ben Oglivie,Left,74,160,0.273,235
Luis Sanchez,Right,74,170,0,0
Bob Johnson,Right,70,175,0.272,44
Don Buford,Both,67,160,0.264,93
Duane Kuiper,Left,72,175,0.271,1
Brant Alyea,Right,75,215,0.247,38
Jerry Narron,Left,75,205,0.211,21
Lou Johnson,Right,71,170,0.258,48
Ken Retzer,Left,72,185,0.264,14
Mike Brown,Right,74,195,0.265,23
Mike Brown,Right,74,195,0,0
Greg Walker,Left,75,205,0.26,113
Terry Harper,Right,76,195,0.253,36
Jerry Royster,Right,72,165,0.249,40
Steve Davis,Left,73,195,0,0
Jeff Rineer,Left,76,205,0,0
Barry Bonnell,Right,75,190,0.272,56
Tom Seaver,Right,73,195,0.154,12
Jerry Martin,Right,73,195,0.251,85
Bill Stein,Right,70,170,0.267,44
Joel Youngblood,Right,72,180,0.265,80
Reggie Jackson,Left,72,195,0.262,563
Sonny Jackson,Left,69,150,0.251,7
Mark Mercer,Left,77,220,0,0
Rodney Scott,Both,72,160,0.236,3
Rich Coggins,Left,68,170,0.265,12
Phil Gagliano,Right,73,180,0.238,14
Jerry McNertney,Right,72,180,0.237,27
Mitchell Page,Left,74,205,0.266,72
Kiko Garcia,Right,71,180,0.239,12
Larry Milbourne,Both,72,161,0.254,11
Bill Sudakis,Both,73,190,0.234,59
John Caneira,Right,75,180,0,0
Domingo Ramos,Right,70,154,0.24,8
Ron Oester,Both,74,185,0.265,42
Glenn Adams,Left,73,180,0.28,34
Clint Zavaras,Right,73,175,0,0
Joe Morgan,Left,67,160,0.271,268
R.J. Reynolds,Both,72,190,0.267,35
Mike Parrott,Right,76,210,0,0
Lee Thomas,Left,74,195,0.255,106
Ray Fosse,Right,74,215,0.256,61
Paul Popovich,Both,72,175,0.233,14
John Stephenson,Left,71,180,0.216,12
Doug Clemens,Left,72,180,0.229,12
Luis Aponte,Right,72,185,0,0
Orlando Mercado,Right,72,180,0.199,7
Charley Smith,Right,73,170,0.239,69
Paul Boris,Right,74,200,0,0
Buddy Biancalana,Both,71,160,0.205,6
De Wayne Buice,Right,72,170,0,0
Bob Uecker,Right,73,190,0.2,14
Felix Torres,Right,71,165,0.254,27
Steve Braun,Left,70,180,0.271,52
Ray Knight,Right,73,185,0.271,84
Ty Cline,Left,72,170,0.238,6
Thad Bosley,Left,75,175,0.272,20
Bobby Grich,Right,74,180,0.266,224
Jimmie Hall,Left,72,175,0.254,121
John Boccabella,Right,73,195,0.219,26
Brock Davis,Left,70,160,0.26,1
Mark Esser,Right,73,190,0,0
Curt Blefary,Left,74,195,0.237,112
Daryl Smith,Right,76,185,0,0
Dave Smith,Right,73,190,0,0
Mack Jones,Left,73,180,0.252,133
Buddy Bradford,Right,71,170,0.226,52
Hosken Powell,Left,73,175,0.259,17
Dave Stapleton,Left,73,185,0,0
Dave Stapleton,Right,73,178,0.271,41
Gary Ward,Right,74,195,0.276,130
Jim Lonborg,Right,77,200,0.136,3
Joe Lis,Right,72,175,0.233,32
Dan Meyer,Left,71,180,0.253,86
Jim Holt,Left,72,180,0.265,19
Tom Klawitter,Right,74,190,0,0
Larry Herndon,Right,75,190,0.274,107
Gary Christenson,Left,77,200,0,0
Jim Wright,Right,77,205,0,0
Jim Wright,Right,73,165,0,0
Wallace Johnson,Both,72,173,0.255,5
Mike Kinnunen,Left,73,185,0,0
Eddie Leon,Right,72,170,0.236,24
Dave Rajsich,Left,77,175,0,0
Jim Wohlford,Right,71,175,0.26,21
J.R. Richard,Right,80,222,0.168,10
Bill Voss,Left,74,160,0.227,19
Keith Moreland,Right,72,190,0.279,121
Ramon Pena,Right,70,155,0,0
Alex Johnson,Right,72,205,0.288,78
Wayne Krenchicki,Left,73,180,0.266,15
Chico Escarrega,Right,71,185,0,0
Dave Rosello,Right,71,160,0.236,10
Cardell Camper,Right,75,208,0,0
Paul Schaal,Right,71,165,0.244,57
Tito Landrum,Right,71,175,0.249,13
Dave Edwards,Right,72,170,0.237,14
Mario Guerrero,Right,70,155,0.257,7
Tom Tresh,Both,73,180,0.245,153
Mike Overy,Right,74,190,0,0
Ron Roenicke,Both,72,180,0.238,17
Doug Griffin,Right,72,160,0.245,7
Steve Blass,Right,72,165,0.172,1
Johnnie LeMaster,Right,74,165,0.222,22
Craig Chamberlain,Right,73,190,0,0
Nate Oliver,Right,70,160,0.226,2
Ray Sadecki,Left,71,180,0.191,5
Ken Rudolph,Right,73,180,0.213,6
Wayne Nordhagen,Right,74,205,0.282,39
Biff Pocoroba,Both,70,175,0.257,21
Len Matuszek,Left,74,190,0.234,30
Frank Eufemia,Right,71,185,0,0
Joe Lefebvre,Left,70,170,0.258,31
Jim Maloney,Left,74,190,0.201,7
Andre Robertson,Right,70,155,0.251,5
Jerry Zimmerman,Right,74,185,0.204,3
Jack Lazorko,Right,71,200,0,0
Mike Paxton,Right,71,190,0,0
Chet Lemon,Right,72,190,0.273,215
Rickey Keeton,Right,74,190,0,0
Phil Mankowski,Left,72,180,0.264,8
Cleon Jones,Right,72,185,0.281,93
Joaquin Andujar,Both,72,170,0.127,5
Mike Lum,Left,72,180,0.247,90
Johnny Grubb,Left,75,175,0.278,99
Curt Motton,Right,68,164,0.213,25
Johnny Bench,Right,73,197,0.267,389
Dale Berra,Right,72,180,0.236,49
Terry Felton,Right,73,180,0,0
Bob Meacham,Both,73,175,0.236,8
Mark Clear,Right,76,200,0,0
Carl Warwick,Right,70,170,0.248,31
Sam Bowens,Right,73,188,0.223,45
George Wright,Both,71,180,0.245,42
Luis Aguayo,Right,69,173,0.236,37
Hal Lanier,Right,74,180,0.228,8
Mike Pazik,Left,74,195,0,0
Len Randle,Both,70,169,0.257,27
Greg Pryor,Right,72,180,0.25,14
Jim Traber,Left,72,194,0.227,27
Dave Nelson,Right,70,160,0.244,20
Lynn Jones,Right,69,175,0.252,7
Bryan Little,Both,70,160,0.245,3
Ken Suarez,Right,69,175,0.227,5
Rick Peters,Both,69,170,0.277,2
Ron Stone,Left,74,185,0.241,6
Rich Barnes,Right,76,186,0,0
Tommie Agee,Right,71,195,0.255,130
Bob Bailey,Right,73,180,0.257,189
Cap Peterson,Right,74,195,0.23,19
Ted Uhlaender,Left,74,190,0.263,36
Ted Simmons,Both,71,193,0.285,248
Bobby Murcer,Left,71,160,0.277,252
Dick Tracewski,Right,71,160,0.213,8
Dave Frost,Right,78,235,0,0
Mark Souza,Left,72,180,0,0
Bill Nahorodny,Right,74,200,0.241,25
Bill Madlock,Right,71,180,0.305,163
Bob Boone,Right,74,195,0.254,105
Rick Jones,Left,77,190,0,0
Steve Kemp,Left,72,195,0.278,130
Rick Burleson,Right,70,165,0.273,50
Jim Dorsey,Right,79,190,0,0
Mark Ciardi,Right,72,180,0,0
Dennis Burtt,Right,72,180,0,0
Carl Taylor,Right,74,200,0.266,10
Terry Harmon,Right,74,180,0.233,4
Mike Hargrove,Left,72,195,0.29,80
Rich Yett,Right,74,187,0,0
Steve Hovley,Left,70,188,0.258,8
Don Leppert,Right,74,220,0.229,15
Matt Williams,Right,73,200,0,0
Jim Burton,Right,75,195,0,0
Rick Anderson,Right,74,210,0,0
Charlie Mitchell,Right,75,170,0,0
Bill Paschall,Right,72,175,0,0
John Bohnet,Both,72,175,0,0
Byron McLaughlin,Right,73,175,0,0
Lee May,Right,75,195,0.267,354
Luis Quintana,Left,74,175,0,0
Sam McDowell,Left,77,190,0.154,2
Rick Renick,Right,72,188,0.221,20
Jeff Torborg,Right,72,195,0.214,8
Dave Campbell,Right,73,180,0.213,20
Pat Kelly,Left,73,185,0.264,76
Al Weis,Both,72,160,0.219,7
Jerry Turner,Left,69,180,0.257,45
Rick Auerbach,Right,72,165,0.22,9
Keith Macwhorter,Right,76,190,0,0
Don Wilson,Right,74,195,0.146,1
Jaime Cocanower,Right,76,200,0,0
Jeff Sellers,Right,73,175,0,0
Sandy Valdespino,Left,68,170,0.23,7
Steve Senteney,Right,74,205,0,0
Howard Bailey,Right,72,195,0,0
Jeff Bettendorf,Right,75,180,0,0
Ken Phelps,Left,73,209,0.239,123
Cesar Cedeno,Right,74,175,0.285,199
Bob Davidson,Right,72,185,0,0
Phil Linz,Right,73,180,0.235,11
Manny Mota,Right,70,160,0.304,31
Brian Snyder,Left,75,185,0,0
Steve Renko,Right,77,230,0.215,6
Rick Sofield,Left,73,195,0.243,9
Carlos Velazquez,Right,71,180,0,0
Roger Miller,Right,75,200,0,0
Doug DeCinces,Right,74,190,0.259,237
John Castino,Right,71,175,0.278,41
Dave May,Left,70,186,0.251,96
Ron Washington,Right,71,155,0.261,20
Billy Grabarkewitz,Right,70,165,0.236,28
Willie Aikens,Left,75,220,0.271,110
Earl Williams,Right,75,215,0.247,138
Willie Mueller,Right,76,220,0,0
John Flinn,Right,72,175,0,0
Don Hahn,Right,73,180,0.236,7
Todd Cruz,Right,72,175,0.22,34
Tom Egan,Right,76,218,0.2,22
Bob Heise,Right,72,175,0.247,1
Tommy Harper,Right,69,165,0.257,146
Joe Wallis,Both,71,180,0.244,16
Max Alvis,Right,71,185,0.247,111
Rico Carty,Right,75,200,0.299,204
Mike Cubbage,Left,72,180,0.258,34
Les Straker,Right,73,193,0,0
Merritt Ranew,Left,71,170,0.247,8
Lyman Bostock,Left,73,180,0.311,23
Damaso Garcia,Right,73,165,0.283,36
Don Kainer,Right,75,205,0,0
Don Gordon,Right,73,175,0,0
Roy Howell,Left,73,190,0.261,80
Boog Powell,Left,76,230,0.266,339
Sandy Wihtol,Right,73,195,0,0
Sonny Siebert,Right,75,190,0.173,12
Jeff Richardson,Right,75,185,0,0
Bobby Darwin,Right,74,190,0.251,83
Dennis DeBarr,Left,74,190,0,0
Dan Driessen,Left,71,187,0.267,153
Bruce Miller,Right,73,185,0.246,1
Bob Bailor,Right,71,170,0.264,9
Tommy Helms,Right,70,165,0.269,34
Tony Armas,Right,71,182,0.252,251
Willie Horton,Right,71,209,0.273,325
Lou Piniella,Right,72,182,0.291,102
Butch Hobson,Right,73,193,0.248,98
John Wathan,Right,74,205,0.262,21
Hal King,Left,73,200,0.214,24
Mike Krukow,Right,77,205,0.193,5
Andres Mora,Right,72,180,0.223,27
Barry Foote,Right,75,205,0.23,57
Ed Ott,Left,70,190,0.259,33
Alan Wiggins,Both,74,160,0.259,5
Ron Clark,Right,70,175,0.189,5
Jay Pettibone,Right,76,182,0,0
Glen Cook,Right,71,180,0,0
Julio Gotay,Right,72,180,0.26,6
Gary Alexander,Right,74,195,0.23,55
Andre Thornton,Right,75,200,0.254,253
Bob Oliver,Right,75,205,0.256,94
Bill Castro,Right,71,170,0,0
Ed Hodge,Left,74,192,0,0
Tom Buskey,Right,75,200,0,0
Bruce Taylor,Right,72,178,0,0
Stan Thomas,Right,74,185,0,0
Bob Robertson,Right,73,195,0.242,115
Larry Monroe,Right,76,200,0,0
Roger Slagle,Right,75,190,0,0
Ollie Brown,Right,74,178,0.265,102
Jim Campbell,Left,71,175,0,0
Frank Quilici,Right,73,170,0.214,5
Curt Kaufman,Right,74,175,0,0
Joe Pepitone,Left,74,185,0.258,219
Steve Barber,Left,72,195,0.115,5
De Wayne Vaughn,Right,71,180,0,0
Norm Miller,Left,70,185,0.238,24
Bob Galasso,Left,73,205,0,0
Rich Wortham,Right,72,185,0,0
Bob Chance,Left,74,196,0.261,24
Julio Cruz,Both,69,165,0.237,23
Bill Sample,Right,69,175,0.272,46
Juan Nieves,Left,75,175,0,0
Mike Bacsik,Right,74,180,0,0
Craig Kusick,Right,75,210,0.235,46
Rudy Meoli,Left,69,165,0.212,2
Ruppert Jones,Left,70,170,0.25,147
Glenn Hoffman,Right,73,175,0.242,23
Russ Gibson,Right,73,195,0.228,8
Phil Huffman,Right,74,180,0,0
Terry Francona,Left,73,190,0.274,16
John Bateman,Right,75,210,0.23,81
Luis Pujols,Right,74,175,0.193,6
Joe Gaines,Right,73,190,0.241,21
Doug Rader,Right,74,208,0.251,155
Mickey Stanley,Right,73,185,0.248,117
Steve Brown,Right,77,200,0,0
Rick Lysander,Right,74,190,0,0
Phil Bradley,Right,72,185,0.286,78
Winston Llenas,Right,70,165,0.23,3
Charlie Moore,Right,71,180,0.261,36
Ralph Garr,Left,71,185,0.306,75
Tommy John,Right,75,180,0.157,5
Bruce Benedict,Right,73,175,0.242,18
John Ellis,Right,74,225,0.262,69
Wes Parker,Both,73,180,0.267,64
Mel Stottlemyre,Right,72,190,0,0
David Green,Right,75,170,0.268,31
Reid Nichols,Right,71,165,0.266,22
Rick Reichardt,Right,75,210,0.261,116
Luis Tiant,Right,72,180,0.164,5
Alex Sanchez,Right,74,185,0,0
Broderick Perkins,Left,70,180,0.271,8
Leon Roberts,Right,75,200,0.267,78
Ray Burris,Right,77,200,0.151,1
Len Gabrielson,Left,76,210,0.253,37
Johnny Edwards,Left,76,220,0.242,81
Paul Wilmet,Right,71,170,0,0
Tom Grieve,Right,74,190,0.249,65
Bruce Ellingsen,Left,72,180,0,0
Bob Forsch,Right,76,200,0.213,12
Gorman Heimueller,Left,76,195,0,0
Danny Cater,Right,72,170,0.276,66
Bill Schroeder,Right,74,200,0.24,61
Clay Dalrymple,Left,72,190,0.233,55
Carlos May,Left,71,200,0.274,90
Reggie Smith,Both,72,180,0.287,314
Ron Reed,Right,78,215,0.158,0
Fred Howard,Right,75,190,0,0
Davey Johnson,Right,73,170,0.261,136
Ellis Valentine,Right,76,205,0.278,123
Roy White,Both,70,160,0.271,160
Mike Brumley,Left,70,195,0.229,5
Al Luplow,Left,70,175,0.235,33
John Hoover,Right,74,190,0,0
Dick Allen,Right,71,187,0.292,351
Doug Ault,Right,75,200,0.236,17
Mark Wagner,Right,72,165,0.243,3
Mike Walters,Right,77,203,0,0
Willie Stargell,Left,74,188,0.282,475
Steve Carlton,Left,76,210,0.201,13
Jake Wood,Right,73,163,0.25,35
Del Unser,Left,73,180,0.258,87
Bob Brower,Right,71,185,0.242,17
Ray Culp,Right,72,200,0.123,1
Ivan Murrell,Right,74,195,0.236,33
Lee Mazzilli,Both,73,180,0.259,93
Garth Iorg,Right,71,170,0.258,20
Alan Ashby,Both,74,185,0.245,90
Bob Brenly,Right,74,210,0.247,91
Ron Blomberg,Left,73,195,0.293,52
Jim Rooker,Right,72,195,0.201,7
Tim Blackwell,Both,71,170,0.228,6
Colby Ward,Right,74,185,0,0
Jerry Morales,Right,70,155,0.259,95
Davey Lopes,Right,69,170,0.263,155
Catfish Hunter,Right,72,190,0.226,6
Mario Soto,Right,72,174,0.132,1
Jimmy Wynn,Right,70,160,0.25,291
Hank Allen,Right,72,190,0.241,6
Jim Fregosi,Right,73,190,0.265,151
Pepe Frias,Right,70,159,0.24,1
Mike Schmidt,Right,74,195,0.267,548
Willie Montanez,Left,72,170,0.275,139
Rey Quinones,Right,71,160,0.243,29
Mike Squires,Left,71,185,0.26,6
Champ Summers,Left,74,205,0.255,54
Chuck Porter,Right,75,187,0,0
Bert Campaneris,Right,70,160,0.259,79
Bobby Valentine,Right,70,189,0.26,12
Rob Andrews,Right,72,185,0.251,3
Tom Haller,Left,76,195,0.257,134
Tom Dozier,Right,74,190,0,0
Ed Stroud,Left,71,180,0.237,14
Ron Swoboda,Right,74,195,0.242,73
Harry Spilman,Left,73,180,0.237,18
Bob Barton,Right,72,175,0.226,9
Daryl Sconiers,Left,74,185,0.265,15
Joe Torre,Right,74,212,0.297,252
Al Ferrara,Right,73,200,0.259,51
Rick Steirer,Right,76,200,0,0
Sixto Lezcano,Right,70,165,0.271,148
Al Lachowicz,Right,75,198,0,0
Dave Nicholson,Right,74,215,0.212,61
Freddie Patek,Right,65,148,0.242,41
Ken Hubbs,Right,74,175,0.247,14
Pepe Mangual,Right,70,157,0.242,16
Leron Lee,Left,72,196,0.25,31
Tom McCarthy,Right,72,180,0,0
Steve Ontiveros,Both,72,185,0.274,24
Willie Davis,Left,74,180,0.279,182
Tom Lawless,Right,71,170,0.207,2
Jerry Moses,Right,75,210,0.251,25
Bobby Bonds,Right,73,190,0.268,332
Dave McNally,Right,71,185,0.133,9
Darrell Brown,Both,72,184,0.274,1
Roy Foster,Right,72,185,0.253,45
Denis Menke,Right,72,185,0.25,101
Hal Breeden,Right,74,200,0.243,21
Manny Trillo,Right,73,150,0.263,61
Jackie Gutierrez,Right,71,175,0.237,4
Jerry Kenney,Left,73,170,0.237,7
Fred Kendall,Right,73,185,0.234,31
Mike Anderson,Right,74,200,0.246,28
Jim Lewis,Right,75,190,0,0
Joe Charboneau,Right,74,205,0.266,29
Jimmie Schaffer,Right,69,170,0.223,11
Junior Kennedy,Right,71,175,0.248,4
Wilbur Howard,Both,74,170,0.25,6
Rod Gilbreath,Right,74,180,0.248,14
Mark Brouhard,Right,73,210,0.259,25
Dan Morogiello,Left,73,200,0,0
Mike Young,Both,74,195,0.247,72
Chris Speier,Right,73,175,0.246,112
Gene Michael,Both,74,183,0.229,15
Vic Harris,Both,71,165,0.217,13
Mike Fischlin,Right,73,165,0.22,3
Don Money,Right,73,170,0.261,176
Joe Rudi,Right,74,200,0.264,179
Jim Rice,Right,74,200,0.298,382
Shawn Holman,Right,74,185,0,0
Alan Wirth,Right,76,190,0,0
Gil Garrido,Right,69,150,0.237,1
Marty Perez,Right,71,160,0.246,22
Tom Matchick,Left,73,173,0.215,4
Jack Perconte,Left,70,160,0.27,2
Ed Kirkpatrick,Left,71,195,0.238,85
Jerry Grote,Right,70,185,0.252,39
Ellie Hendricks,Left,73,175,0.22,62
Jim Beauchamp,Right,74,190,0.231,14
Terry Wilshusen,Right,74,210,0,0
Tito Fuentes,Both,71,175,0.268,45
Ron Brand,Right,67,167,0.239,3
Leo Cardenas,Right,71,150,0.257,118
Art Shamsky,Left,73,168,0.253,68
Steve Ellsworth,Right,80,220,0,0
Ron Cey,Right,70,185,0.261,316
Skip Jutze,Right,71,190,0.215,3
Butch Wynegar,Both,73,190,0.255,65
Ron LeFlore,Right,72,200,0.288,59
Bill Russell,Right,72,175,0.263,46
Gene Tenace,Right,72,190,0.241,201
Bubba Morton,Right,70,175,0.267,14
Ellie Rodriguez,Right,71,185,0.245,16
Darrel Chaney,Both,74,188,0.217,14
Dick Nen,Left,74,200,0.224,21
Bryan Kelly,Right,74,195,0,0
Bill Freehan,Right,75,203,0.262,200
Steve Nicosia,Right,70,185,0.248,11
Ted Savage,Right,73,185,0.233,34
Pete Mackanin,Right,74,190,0.226,30
Rich Dauer,Right,72,180,0.257,43
Mick Kelleher,Right,69,176,0.213,0
Rowland Office,Left,72,170,0.259,32
Rick Leach,Left,73,180,0.268,18
Dwayne Murphy,Left,73,185,0.246,166
Larry Harlow,Left,74,185,0.248,12
Mike Epstein,Left,75,230,0.244,130
Jerry Mumphrey,Both,74,185,0.289,70
Don Sutton,Right,73,185,0.144,0
Glenn Beckert,Right,73,190,0.283,22
Ron Davis,Right,72,175,0.233,10
Mike Shannon,Right,75,195,0.255,68
Jason Thompson,Left,76,200,0.261,208
Wayne Tolleson,Both,69,160,0.241,9
John Leister,Right,74,200,0,0
Don Cooper,Right,73,185,0,0
Mike Jorgensen,Left,72,195,0.243,95
Ed Romero,Right,71,160,0.247,8
Rick Joseph,Right,73,192,0.243,13
Cecil Cooper,Left,74,165,0.298,241
Bill Almon,Right,75,180,0.254,36
Joe Ferguson,Right,74,200,0.24,122
Jeff Jones,Right,75,210,0,0
Jerry Terrell,Right,71,165,0.253,4
John Poloni,Left,77,210,0,0
Dave Revering,Left,76,210,0.265,62
Curt Ford,Left,70,150,0.245,7
Jerry Dybzinski,Right,74,180,0.234,3
Mike Willis,Left,74,205,0,0
Bob Burda,Left,71,174,0.224,13
Jesse Gonder,Left,70,180,0.251,26
Gary Sutherland,Right,72,185,0.243,24
Bob Coluccio,Right,71,183,0.22,26
Dave Rader,Left,71,165,0.257,30
Ron Gardenhire,Right,72,175,0.232,4
Bill Sharp,Left,70,178,0.255,9
Alan Bannister,Right,71,170,0.27,19
Bob Watson,Right,72,201,0.295,184
Ken Harrelson,Right,74,190,0.239,131
Bobby Wine,Right,73,187,0.215,30
Stefan Wever,Right,80,245,0,0
John Kennedy,Right,72,185,0.225,32
Chico Ruiz,Both,72,169,0.24,2
Dave Johnson,Right,73,183,0,0
Gail Hopkins,Left,70,198,0.266,25
Doug Frobel,Left,76,196,0.201,20
Luis Melendez,Right,72,165,0.248,9
Jerry Augustine,Left,72,183,0,0
Bill Plummer,Right,73,190,0.188,14
Buck Rodgers,Both,74,190,0.232,31
Phil Niekro,Right,73,180,0.169,7
Jeff Holly,Left,77,210,0,0
Tom Poquette,Left,70,175,0.268,10
Eric Hetzel,Right,75,175,0,0
Brian Asselstine,Left,73,175,0.254,12
Rick Miller,Left,72,175,0.269,28
Ed Charles,Right,70,170,0.263,86
Luis Gomez,Right,69,150,0.21,0
Dave Lemanczyk,Right,76,235,0,0
Al Jones,Right,76,210,0,0
Floyd Rayford,Right,70,190,0.244,38
Sam Hinds,Right,78,215,0,0
Tony Conigliaro,Right,75,185,0.264,166
Clay Christiansen,Right,77,205,0,0
Jim Barr,Right,75,205,0.162,1
Jerry Remy,Left,69,165,0.275,7
Larry Rothschild,Left,74,180,0,0
Frank Duffy,Right,73,180,0.232,26
Gary Lance,Both,75,195,0,0
Tom O'Malley,Left,72,180,0.256,13
Phil Garner,Right,70,175,0.26,109
Larry Pashnick,Right,75,205,0,0
Todd Fischer,Right,70,170,0,0
